"Name","Character","IsDefaultSkin","EnabledByCalendar","TID","Icon","Geometry","Texture","NormalMap","MaterialMap","EmissionMap","SWF","SWFTextureExportName","Animation","AltAnimation","CameraDistance","ViewportWidth","ViewportHeight","CelebrateSfx","CelebrateSfxVolume","DeployEffect","AttackEffect","AttackEffect2","AttackEffectAlt","AttackEffect2Alt","HitEffect","DieEffect","AbilityTriggerEffect","AbilityEffect","AbilityActivationEffect","AbilityHitEffect","SkinChangeEffect","ParticleEffect3D","AbilityEffect3D","GunBone","ShadowBone","ProjectileVis","RageProjectileVis","AbilityProjectileVis","SpawnedTroopAnimation","Environment","EnvironmentMenu","EnvironmentWardrobe","MakeCreator","ShadowScale","Tier","ThemeIcon","ThemeTID","ThemeYear","FeatureCustomModel","FeatureCustomTextures","FeatureCustomAnimations","FeatureCustomEffects","FeatureCustomSounds","FeatureCustomVoiceovers","FeatureCustomUnits","FeatureExtraAnimations","FeatureExtraEffects","FeatureExtraSounds","ShadowSWF","ShadowExportName","ShadowAlpha","OutlineSize","PortraitCameraPosition","PortraitCameraLookAt","PortraitCameraFov","PortraitCameraDefaultModelRotation","PortraitCameraArmyScreenFovAdd","PortraitCameraArmyScreenAltitudeChange","PortraitCameraInfoScreenFovAdd","PortraitCameraInfoScreenAltitudeChange","UseMenuPoseInPortrait","BloomStrength","BloomThreshold"
"String","String","boolean","boolean","String","String","String","String","String","String","String","String","String","String","String","int","int","int","String","int","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","int","String","String","String","int","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","String","String","int","int","String","String","int","int","int","int","int","int","boolean","int","int"
"BarbarianKingDefault","Barbarian King","TRUE","FALSE","TID_BARBARIAN_KING","image/skin_icons/bk_original.sctx","sc3d/barbking_default_geo.glb","sc3d/barbking_default2_01.sctx","sc3d/barbking_default2_01_normal.sctx","sc3d/barbking_default2_01_material.sctx",,,,"BarbarianKingDefault2",,10000,225,225,,,"Barbarian King Deploy","Barbarian King Attack",,,,,"Barbarian King Die","King Ability Effect",,,,,,,,"hips_s",,,,,"Default","DefaultMenu","DefaultWardrobe",,100,"DEFAULT",,,0,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;1700;3800","0;1800;0",30,55,15,-500,23,-200,"FALSE",20,100
"BarbarianKingGladiator","Barbarian King","FALSE","FALSE","TID_BARBARIAN_KING_GLADIATOR","image/skin_icons/bk_gladiator_dl_opt.sctx","sc3d/barbking_gladiator_geo_dl_opt.glb","sc3d/barbking_gladiator_01_dl_opt.sctx",,"sc3d/barbking_gladiator_01_material_dl_opt.sctx",,,,"BarbarianKingGladiatorSkin",,10000,225,225,"sfx/gladiatorking_celebrate_vo_01_dl_opt.ogg",80,"Gladiator King Deploy","Barbarian King Attack",,,,,"Gladiator King Die","King Ability Effect",,,,,,,,"hips_s",,,,,"Default","DefaultMenu","DefaultWardrobe",,100,"GOLD",,,0,"TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;1700;4300","-100;1800;0",30,55,15,-100,19,-200,"FALSE",20,100
"ArcherQueenDefault","Archer Queen","TRUE","FALSE","TID_ARCHER_QUEEN","image/skin_icons/aq_original.sctx","sc3d/archerqueen_default_geo.glb","sc3d/archerqueen_default_a.sctx","sc3d/archerqueen_default_n.sctx","sc3d/archerqueen_default_m.sctx",,,,"ArcherQueenDefaultSkin",,10000,225,225,"sfx/archer_queen_scream_01.ogg",90,"Archer Queen Deploy","ArcherQueen Attack",,,,,"Archer Queen Die","Queen Ability Effect",,,,,,,,"hips_s",,,,,"Default","DefaultMenu","DefaultWardrobe",,100,"DEFAULT",,,0,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;1450;3800","0;1550;0",30,55,10,-400,19,0,"FALSE",20,100
,,,,,,,,,,,,,,,,,,"sfx/archer_queen_deploy_01.ogg",90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GrandWardenDefault","Grand Warden","TRUE","FALSE","TID_GRAND_WARDEN","image/skin_icons/gw_original.sctx","sc3d/grandwarden_default_geo.glb","sc3d/grandwarden_default_01.sctx",,"sc3d/grandwarden_default_01_material.sctx","sc3d/grandwarden_default_01_emission.sctx",,,"GrandWardenDefaultSkin","GrandWardenFlyDefaultSkin",10000,225,225,"sfx/tap_grand_warden_04.ogg",90,"Grand Warden Deploy","GrandWarden Attack",,"GrandWarden Attack Air",,,"Grand Warden Die",,,,,,,,"L_gunbone_01_s","hips_s",,,,,"Default","DefaultMenu","DefaultWardrobe",,100,"DEFAULT",,,0,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;1600;3800","0;1700;0",30,55,10,-350,23,-200,"FALSE",20,100
"PekkaKing","Barbarian King","FALSE","FALSE","TID_BARBARIAN_KING_PEKKA","image/skin_icons/bk_pekka_dl_opt.sctx","sc3d/barbking_pekkabk_geo_dl_opt.glb","sc3d/barbking_pekkabk_01_dl_opt.sctx",,"sc3d/barbking_pekka_01_material_dl_opt.sctx","sc3d/barbking_pekka_01_emission_dl_opt.sctx",,,"BarbarianKingPekkaSkin",,10000,225,225,"sfx/gladiatorking_celebrate_vo_01_dl_opt.ogg",80,"Gladiator King Deploy","Barbarian King Attack",,,,,"Gladiator King Die","King Ability Effect",,,,"Pekka Spawn Effect","pekka_sword",,,"hips_s",,,,,"Default","DefaultMenu","DefaultWardrobe",,100,"GOLD",,,0,"TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;800;3800","-70;1800;0",30,55,15,-600,23,-200,"FALSE",20,100
"SkeletonKing","Barbarian King","FALSE","FALSE","TID_SKELETON_KING","image/skin_icons/bk_skeleton_dl_opt.sctx","sc3d/barbking_skeleton_geo_dl_opt.glb","sc3d/barbking_skeleton_01_dl_opt.sctx","sc3d/barbking_skeleton_01_normal_dl_opt.sctx","sc3d/barbking_skeleton_01_material_dl_opt.sctx",,,,"BarbarianKingSkeletonSkin",,10000,225,225,,,"Barbarian King Deploy","Barbarian King Attack",,,,,"Barbarian King Die","King Ability Effect",,,,"Skeleton Spawn Effect","skeleton_Glow",,,"hips_s",,,,,"Default","DefaultMenu","DefaultWardrobe",,100,"GOLD",,,0,"TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;1700;4300","-250;1800;0",30,45,15,-600,23,-75,"FALSE",20,100
"JollyKing","Barbarian King","FALSE","FALSE","TID_JOLLY_KING","image/skin_icons/bk_jolly_dl_opt.sctx","sc3d/barbking_santa_geo_dl_opt.glb","sc3d/barbking_jolly_01_dl_opt.sctx","sc3d/barbking_jolly_01_normal_dl_opt.sctx","sc3d/barbking_jolly_01_material_dl_opt.sctx",,,,"BarbarianKingJollySkin",,10000,225,225,,,"Jolly King Deploy","Barbarian King Attack",,,,,"Jolly King Die","King Ability Effect",,,,,"jolly_sword",,,"hips_s",,,,,"Default","DefaultMenu","DefaultWardrobe",,100,"GOLD",,,0,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;1700;3800","0;1800;0",30,55,15,-600,23,-200,"FALSE",20,100
"PrimalKing","Barbarian King","FALSE","FALSE","TID_PRIMAL_KING","image/skin_icons/bk_primal_dl_opt.sctx","sc3d/barbking_primal_geo_dl_opt.glb","sc3d/barbking_primal_01_dl_opt.sctx","sc3d/barbking_primal_01_normal_dl_opt.sctx","sc3d/barbking_primal_01_material_dl_opt.sctx",,,,"BarbarianKingPrimalSkin",,10000,225,225,"sfx/barbarian_king_scream_01.ogg",80,"Primal King Deploy","Barbarian King Attack",,,,,"Barbarian King Die","King Ability Effect",,,,,,,,"hips_s",,,,,"Default","DefaultMenu","DefaultWardrobe",,100,"GOLD",,,0,"TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;1700;3800","0;1800;0",30,55,15,-600,23,-200,"FALSE",20,100
